time,rssi
2090.250211,-69
2090.574039,-77
2090.826525,-76
2091.695534,-68
2092.555108,-73
2093.702823,-79
2094.551656,-72
2096.264128,-79
2096.842749,-80
2100.260483,-78
2100.845026,-81
2101.157986,-82
2101.696756,-84
2103.130471,-77
2103.99297,-83
2104.869124,-83
2106.27558,-79
2106.853077,-77
2108.013046,-82
2108.871823,-81
2110.596883,-76
2111.169294,-78
2112.024225,-78
2113.16543,-71
2114.028037,-71
2115.176718,-80
2116.315541,-77
2117.464403,-66
2118.321853,-67
2119.191758,-74
2119.76929,-70
2120.628143,-71
2121.190967,-79
2122.334183,-78
2123.470489,-76
2124.343038,-81
2124.615425,-74
2125.758108,-79
2126.339597,-77
2128.627202,-92
2130.048059,-80
