time,rssi
2965.747575,-89
2966.036273,-79
2967.181435,-84
2968.046343,-86
2970.050631,-78
2970.61476,-85
2972.620221,-80
2974.622736,-81
2975.479021,-87
2976.627834,-75
2977.211852,-80
2978.656458,-73
2979.219193,-76
2980.075337,-72
2980.665675,-67
2980.94393,-72
2981.232804,-67
2981.532222,-65
2981.809709,-70
2982.104052,-64
2982.375336,-65
2982.663165,-69
2982.968699,-64
2983.239091,-67
2983.527835,-67
2983.810265,-71
2984.096516,-73
2984.66785,-71
2985.574748,-77
2986.390845,-67
2986.674151,-77
2987.548498,-78
2987.823881,-77
2988.40563,-74
2988.671627,-86
2989.533973,-89
2990.111434,-83
2990.962711,-78
2992.099116,-84
2993.527693,-90
2994.384015,-83
2995.541229,-79
2996.426089,-80
2997.562787,-77
2999.574292,-82
3000.435953,-79
3001.001612,-86
3002.150301,-82
3003.297861,-84
