time,rssi
702.926447,-82
703.701487,-76
705.733846,-93
706.566541,-89
707.727329,-86
707.996484,-86
709.717742,-79
710.847363,-89
711.720258,-88
712.865332,-83
714.397356,-91
715.144073,-81
716.019929,-83
716.568381,-89
718.291618,-79
718.864079,-83
720.161262,-77
720.295265,-80
720.869209,-76
722.019033,-84
722.873967,-75
724.229551,-82
724.908496,-79
726.020325,-86
727.062235,-83
727.45035,-85
728.947127,-86
729.166836,-91
731.739127,-81
732.065875,-84
732.881674,-87
733.734244,-87
734.070236,-84
735.165355,-86
736.343526,-87
737.446765,-84
738.303481,-83
739.746811,-82
740.613054,-81
741.197247,-84
741.469277,-80
742.502766,-75
742.619223,-78
