time,rssi
698.301333,-78
699.727801,-82
700.308268,-87
701.15892,-86
702.582792,-78
703.475953,-78
703.718965,-73
705.145536,-76
705.713954,-83
706.860381,-73
707.721004,-71
708.86543,-84
709.778283,-77
710.015271,-79
710.58662,-80
711.743971,-79
714.036683,-79
716.61043,-79
716.894224,-77
717.76068,-76
718.659935,-81
719.761491,-75
720.621763,-73
720.909009,-73
722.334228,-78
722.905401,-77
724.621747,-71
725.199053,-75
726.473703,-82
727.209294,-76
728.352831,-84
729.213958,-70
730.6591,-87
732.080971,-78
732.387444,-72
732.642813,-94
733.501632,-80
735.522687,-80
735.788987,-79
736.362051,-75
736.70261,-79
