time,rssi
1589.881757,-77
1591.321743,-79
1592.201803,-81
1592.475475,-81
1595.0466,-85
1596.475477,-81
1597.333077,-74
1599.064947,-78
1599.336837,-79
1601.909399,-77
1602.196886,-79
1603.344762,-81
1604.493152,-76
1606.503177,-79
1607.936932,-78
1608.523096,-76
1610.241157,-90
1610.807532,-76
1611.385749,-80
1612.525682,-77
1613.096989,-78
1613.959823,-82
1615.950578,-73
1616.229443,-84
1617.697467,-88
1617.956984,-87
1618.532054,-77
1619.688258,-86
1619.951048,-81
1620.522098,-80
1622.248264,-77
1622.828042,-80
1623.110776,-85
1623.674575,-77
1623.964608,-80
1624.832038,-83
1625.112084,-80
1625.97964,-76
1628.565947,-82
1629.13335,-78
1629.704631,-77
