time,rssi
1509.480018,-88
1510.902587,-77
1512.622572,-83
1513.752503,-83
1514.608733,-76
1515.501504,-86
1515.760197,-80
1516.620084,-84
1517.477363,-76
1518.912656,-93
1520.05376,-82
1520.63534,-85
1520.910095,-77
1522.049104,-78
1522.905134,-77
1524.476525,-71
1524.898829,-78
1525.766079,-82
1527.198936,-77
1528.060021,-84
1530.070215,-79
1531.218917,-75
1532.083792,-78
1532.938691,-78
1534.36457,-86
1534.935081,-83
1536.944027,-86
1537.225062,-84
1538.65772,-78
1539.237917,-80
1539.513881,-87
1540.090346,-78
1540.95775,-82
1541.529011,-77
1542.377793,-76
1543.246307,-76
1544.447816,-78
1544.696381,-83
1545.26267,-75
1546.427789,-83
1548.416438,-83
