time,rssi
2336.352955,-84
2337.206608,-74
2338.356657,-86
2339.505503,-86
2340.637896,-77
2341.771714,-84
2342.634506,-74
2342.919145,-78
2343.2092,-88
2344.356302,-77
2344.632958,-83
2346.086049,-82
2346.626663,-82
2347.484236,-78
2348.633042,-82
2349.777908,-79
2350.354798,-76
2351.51159,-88
2351.789393,-90
2352.650588,-78
2353.785647,-81
2354.682279,-73
2354.934275,-76
2355.80463,-67
2356.150422,-71
2356.660613,-79
2358.084406,-81
2358.660414,-70
2360.080676,-78
2360.668641,-76
2362.098208,-74
2363.282934,-86
2363.820573,-83
2364.968262,-79
2365.250727,-78
2365.824242,-80
2367.539679,-80
2367.814786,-85
2370.14986,-82
2371.543561,-82
2371.810708,-80
2372.102007,-79
2372.965058,-76
2374.112985,-76
2375.304382,-87
