time,rssi
795.074224,-80
796.494422,-75
796.786858,-77
798.531515,-74
799.659436,-85
800.279426,-89
800.525442,-74
801.100146,-82
801.949688,-78
802.801829,-82
803.380703,-79
805.6907,-79
806.263167,-79
807.7007,-81
809.144583,-79
809.42065,-84
810.600986,-84
811.439491,-80
812.295634,-79
814.294433,-83
815.461534,-81
816.872074,-76
817.725228,-88
818.078797,-87
818.942493,-80
819.714339,-80
820.575897,-84
821.438896,-72
822.611272,-78
822.900858,-86
824.039025,-79
824.300886,-80
824.938911,-85
825.72213,-81
826.872188,-92
827.737186,-76
828.603932,-75
828.873952,-78
830.881013,-81
831.742164,-79
832.892424,-85
833.754258,-85
834.613476,-86
834.89475,-81
