time,rssi
3260.566362,-80
3261.715234,-85
3262.861579,-87
3263.71538,-87
3264.867753,-80
3265.726541,-80
3266.292702,-82
3268.010552,-78
3268.298298,-83
3269.149071,-75
3269.439031,-85
3270.687453,-83
3271.160325,-83
3271.739047,-84
3272.316642,-77
3273.466415,-76
3274.620349,-77
3275.759134,-77
3276.937883,-77
3277.756591,-82
3278.901624,-84
3279.769132,-83
3280.627716,-79
3281.866987,-80
3282.637928,-78
3283.79042,-81
3284.987884,-79
3286.061674,-80
3286.918697,-84
3288.065492,-87
3289.212929,-90
3289.783454,-84
3291.107365,-78
3291.500404,-81
3292.357986,-82
3292.938148,-82
3293.504189,-79
3294.129783,-83
3295.5118,-75
3296.10932,-78
3296.641747,-72
3297.423369,-71
3297.504219,-79
3298.36295,-79
3299.232944,-77
3300.380555,-75
