time,rssi
3048.203646,-78
3048.816951,-80
3049.071492,-82
3049.651119,-74
3050.793472,-81
3051.654878,-74
3052.522447,-81
3052.803537,-72
3053.941171,-89
3057.081186,-82
3057.936157,-81
3059.954911,-81
3061.668722,-80
3062.658058,-87
3063.377526,-88
3064.82396,-85
3066.537716,-86
3067.114284,-84
3068.554031,-86
3069.411853,-81
3069.977683,-86
3070.27013,-80
3071.696358,-76
3072.555124,-82
3073.988941,-80
3074.579805,-81
3074.847628,-84
3075.416276,-83
3076.561401,-75
3078.019968,-86
3080.282694,-79
3080.85259,-76
3084.013925,-84
3084.583916,-79
3085.764864,-84
3086.008896,-78
3086.585213,-79
3086.869018,-84
3088.036984,-90
