time,rssi
2279.909926,-83
2280.479956,-81
2281.336181,-85
2282.484851,-82
2283.68427,-77
2283.923523,-92
2284.507175,-83
2285.364909,-84
2285.986986,-77
2287.368749,-71
2287.659843,-82
2288.522206,-87
2288.84624,-84
2289.648634,-80
2290.790023,-93
2291.929059,-71
2294.263358,-81
2294.499976,-87
2295.128398,-83
2295.656335,-77
2295.940034,-81
2296.804078,-75
2297.075027,-81
2298.500118,-77
2299.741039,-84
2299.925061,-82
2300.205472,-95
2301.346385,-84
2302.21667,-86
2302.773854,-86
2303.342811,-88
2304.565981,-84
2305.06513,-84
2308.202332,-84
2308.477725,-93
2309.335367,-89
2310.196146,-86
2310.762506,-81
2311.902849,-85
2313.624423,-83
2314.194356,-74
2315.627854,-76
2316.523784,-76
2316.777074,-81
2317.696755,-86
2318.205344,-88
2318.487883,-83
2319.719015,-84
