time,rssi
1501.5981,-74
1502.179357,-79
1503.038341,-85
1503.645904,-89
1504.469675,-85
1505.335577,-77
1506.188097,-83
1507.044294,-81
1508.202365,-74
1508.474265,-80
1509.050543,-72
1511.348165,-81
1512.2043,-79
1513.635723,-86
1514.78077,-87
1515.350694,-77
1516.208497,-81
1517.648225,-85
1518.500679,-74
1519.361234,-71
1520.078952,-71
1520.509381,-71
1521.364501,-74
1522.793261,-71
1523.657014,-79
1524.52255,-74
1524.808219,-73
1525.666975,-81
1526.527157,-82
1527.67774,-84
1527.964511,-83
1528.535994,-83
1529.675783,-78
1529.953251,-83
1531.387121,-81
1531.712765,-75
1531.9636,-77
1532.820902,-79
1533.972097,-79
1534.8578,-81
1535.368143,-81
1536.265575,-79
1537.396086,-79
1537.972081,-85
1538.853212,-75
1539.693275,-81
1539.982144,-81
