time,rssi
2102.092881,-85
2102.662599,-82
2104.083706,-81
2104.650058,-87
2105.801135,-86
2106.658877,-80
2107.812428,-79
2109.241305,-85
2109.813622,-89
2110.956634,-84
2111.242505,-82
2111.811392,-82
2113.240793,-75
2114.09366,-79
2114.949877,-89
2116.396288,-86
2117.254983,-73
2118.123979,-82
2118.695003,-79
2118.993894,-72
2119.846318,-78
2120.413003,-81
2121.561565,-74
2122.417572,-74
2123.305187,-76
2123.559043,-80
2124.14609,-77
2124.48462,-77
2125.845212,-81
2126.421502,-75
2127.290328,-73
2128.410426,-86
2129.280493,-83
2130.424675,-86
2130.699918,-86
2131.279354,-81
2132.434349,-82
2132.719128,-85
2133.856362,-81
2134.705375,-76
2135.565206,-81
2136.423772,-83
2137.578057,-83
2138.697737,-77
2139.558905,-78
2141.021313,-75
2141.277623,-87
