time,rssi
1580.34851,-83
1581.203535,-80
1582.935892,-90
1585.209698,-87
1586.380269,-76
1587.597489,-79
1587.787295,-85
1588.506061,-80
1588.927603,-79
1590.076105,-78
1591.531717,-77
1591.789748,-77
1592.078469,-79
1593.513563,-90
1594.369838,-75
1595.793594,-77
1596.651139,-82
1597.830545,-85
1598.082315,-84
1598.658579,-81
1599.225986,-79
1600.659902,-91
1601.891723,-85
1602.661155,-88
1603.54113,-74
1605.234954,-77
1606.65744,-84
1608.089979,-86
1608.667497,-81
1609.841429,-84
1610.111297,-73
1610.68507,-82
1610.964927,-72
1611.543744,-73
1613.380236,-84
1614.727175,-74
1616.182462,-70
1616.420432,-78
1616.699922,-77
1618.598774,-79
1618.713098,-79
1619.566239,-73
1619.851327,-78
