time,rssi
3154.486925,-81
3155.059181,-77
3156.193047,-74
3157.338077,-77
3158.194314,-77
3159.043427,-81
3159.616931,-78
3160.776807,-73
3161.348134,-85
3163.070657,-80
3163.641923,-82
3164.212834,-74
3165.158464,-86
3165.926903,-89
3166.540632,-84
3167.073108,-78
3167.373998,-82
3169.083169,-76
3169.376311,-78
3169.656851,-85
3170.800731,-81
3171.372247,-78
3172.530174,-83
3172.802395,-81
3173.373186,-82
3173.656939,-74
3174.526917,-76
3175.098125,-77
3175.964487,-78
3176.846068,-82
3177.974541,-77
3178.556808,-77
3178.830697,-81
3179.404486,-79
3179.99664,-78
3180.844548,-80
3181.704439,-77
3183.152341,-79
3183.415901,-80
3183.703483,-80
3184.845882,-78
3186.562216,-72
3187.140982,-74
3187.99805,-74
3188.865122,-79
3189.169812,-79
3189.69226,-72
3190.269104,-75
3191.129715,-84
3192.09222,-77
3192.273413,-87
3193.126023,-82
3193.982195,-76
