time,rssi
744.184106,-76
748.044849,-89
748.32122,-78
749.148868,-76
750.519114,-77
750.794059,-78
752.171115,-91
753.275294,-77
754.092914,-77
754.362487,-76
755.190077,-75
755.738764,-75
757.131264,-77
758.507608,-77
759.875043,-75
762.631299,-78
766.222383,-89
767.59013,-90
768.134908,-90
769.505611,-77
769.780114,-78
770.060062,-86
770.610133,-78
771.15896,-75
774.182983,-86
775.266777,-84
776.353919,-77
777.173998,-78
778.261753,-79
779.365262,-78
779.918235,-90
