time,rssi
1960.736313,-85
1961.286853,-80
1961.557495,-89
1962.101612,-76
1963.779039,-86
1964.310437,-86
1964.857628,-83
1965.127612,-85
1967.051342,-85
1967.873948,-84
1968.421303,-85
1969.238913,-86
1970.630182,-85
1972.548267,-84
1973.372126,-85
1974.197713,-89
1976.125236,-85
1976.955458,-76
1977.505779,-81
1978.875281,-87
1979.153069,-79
1981.356594,-10
1982.444953,-81
1982.719943,-81
1984.092453,-80
1984.916884,-78
1985.740665,-77
1986.293339,-89
1987.38168,-89
1987.934741,-78
1988.484353,-77
1990.140881,-86
1991.242235,-84
1992.35062,-93
1992.8957,-75
1993.988142,-79
1994.536052,-77
1995.091579,-76
1995.633189,-79
1998.684352,-78
