time,rssi
2111.094026,-83
2111.64524,-89
2113.021011,-84
2114.960451,-81
2115.511693,-80
2116.33673,-80
2116.613005,-87
2117.157992,-83
2117.9892,-85
2118.816702,-80
2121.003714,-85
2121.55622,-84
2122.115956,-81
2122.664205,-79
2124.871738,-82
2125.415487,-81
2125.68794,-85
2126.241929,-79
2126.798122,-80
2127.619968,-79
2128.719317,-82
2129.264407,-82
2130.371776,-82
2131.203199,-82
2132.026923,-74
2133.05688,-81
2133.892535,-79
2134.728242,-83
2135.827633,-74
2136.075552,-76
2136.630648,-76
2136.903103,-79
2137.450695,-91
2137.999404,-75
2138.54445,-72
2139.615982,-85
2142.367021,-79
2143.205683,-80
2145.127073,-81
2147.065753,-78
2148.978618,-89
2149.270289,-84
2150.354472,-90
