time,rssi
656.64236,-76
657.789882,-79
660.093733,-71
660.379834,-71
661.525012,-79
662.410119,-77
662.676109,-78
663.531273,-73
665.885775,-77
666.40326,-76
667.536152,-71
668.977627,-86
669.548824,-89
670.685101,-82
671.823806,-81
674.404969,-82
674.995449,-76
675.835867,-83
676.703394,-72
677.842528,-89
678.980049,-79
679.837431,-83
681.003158,-72
681.265018,-79
682.1338,-75
683.625702,-78
684.432579,-76
685.008416,-76
685.291325,-76
687.023739,-85
688.176236,-83
689.367503,-79
691.335929,-78
692.461309,-80
693.346072,-76
693.891222,-79
694.171259,-73
695.331332,-79
696.184629,-71
