time,rssi
697.931516,-83
698.559218,-80
699.313656,-82
700.180141,-80
700.747382,-82
701.317713,-90
702.462508,-85
704.504729,-86
704.757492,-85
705.624266,-88
706.500349,-86
707.65731,-86
708.487295,-81
708.771515,-87
710.857785,-79
711.063962,-86
711.913992,-72
713.631382,-74
715.071475,-76
715.933985,-71
716.817268,-81
717.954087,-82
718.842081,-87
719.095198,-83
719.952775,-87
721.099057,-79
722.247774,-81
722.825317,-87
724.251759,-86
724.82884,-85
726.336764,-85
728.316673,-84
729.113992,-83
729.97441,-82
732.636266,-84
732.871394,-83
733.416444,-84
733.981911,-82
734.267961,-91
735.696671,-83
736.273882,-83
737.415473,-93
