time,rssi
3265.307893,-78
3265.594028,-85
3266.740348,-81
3267.886992,-80
3268.159019,-79
3269.310462,-78
3270.175446,-75
3270.781661,-85
3272.174156,-83
3273.600604,-88
3273.925129,-86
3274.466692,-78
3276.17924,-78
3277.898048,-73
3279.056072,-76
3279.327964,-83
3280.479915,-75
3280.759326,-76
3281.053314,-79
3282.478665,-65
3282.753049,-78
3283.039181,-73
3283.321839,-79
3284.463151,-77
3285.323174,-76
3286.83684,-79
3287.619396,-81
3288.474865,-81
3289.050767,-80
3289.334545,-82
3290.808943,-84
3291.327899,-82
3292.528293,-79
3293.612952,-80
3294.481266,-85
3295.32544,-78
3295.615503,-84
3296.535734,-84
3296.771708,-87
3298.494198,-82
3300.222022,-78
3301.649222,-86
3302.79307,-78
3304.232548,-76
3304.799263,-82
