time,rssi
3014.538766,-80
3015.678128,-85
3017.68813,-80
3018.829805,-94
3019.390705,-76
3020.572468,-79
3021.985386,-80
3023.410718,-78
3023.673763,-75
3025.106965,-78
3025.969658,-80
3026.843308,-81
3027.71953,-81
3027.98161,-76
3028.840818,-77
3029.730888,-85
3031.427162,-87
3032.00487,-79
3033.159659,-72
3034.315938,-80
3034.878409,-73
3036.018319,-81
3038.33594,-77
3038.60246,-86
3039.484441,-79
3040.602072,-83
3041.193082,-76
3041.744654,-81
3042.03703,-91
3042.60718,-83
3044.329631,-85
3045.479899,-89
3046.345769,-81
3046.766966,-89
3047.744989,-81
3048.319276,-83
3049.177309,-74
3050.609802,-80
3051.762198,-83
3052.338314,-82
3054.064981,-74
