time,rssi
697.712328,-80
698.858637,-80
699.434782,-85
700.288524,-83
705.153674,-82
706.019905,-85
708.602386,-80
709.172469,-85
709.458411,-83
710.611294,-76
711.183498,-83
711.479981,-80
712.041041,-74
713.198544,-76
716.359451,-92
717.509848,-78
718.650204,-76
719.219835,-77
719.793522,-80
720.40918,-90
721.518708,-71
722.383676,-85
723.524932,-74
724.11461,-73
724.391128,-67
724.685094,-71
724.98748,-68
725.254092,-67
725.545703,-64
726.114981,-67
726.681198,-62
727.541293,-75
728.111236,-93
729.257792,-71
729.537383,-75
729.826363,-73
730.972435,-78
731.851042,-81
732.406137,-76
733.274929,-84
734.418729,-82
734.992399,-84
735.571189,-77
737.289929,-82
