time,rssi
2224.61907,-70
2225.198869,-70
2226.634012,-73
2227.218358,-77
2227.505146,-77
2228.367731,-82
2229.510241,-76
2230.376349,-71
2231.51274,-78
2232.367584,-80
2233.50273,-80
2234.360266,-80
2235.508883,-76
2237.230283,-81
2237.806621,-85
2239.246568,-84
2239.529296,-83
2241.264733,-75
2242.395196,-81
2242.723806,-85
2243.833471,-73
2244.692324,-75
2245.547749,-77
2245.832855,-76
2246.684068,-74
2247.842096,-76
2251.544303,-76
2252.125495,-82
2253.556755,-73
2254.404319,-71
2254.976692,-79
2256.995631,-79
2257.556761,-74
2258.414498,-77
2259.850631,-74
2260.138014,-78
2261.274355,-80
2262.133601,-70
2262.410567,-72
2263.565656,-85
