time,rssi
3005.548726,-84
3005.796745,-76
3008.496439,-84
3008.949379,-81
3009.804419,-80
3010.658133,-78
3012.364406,-85
3013.224417,-83
3014.949298,-84
3017.262074,-80
3017.496947,-81
3020.642946,-84
3021.776997,-89
3022.05814,-82
3023.214528,-83
3024.342036,-84
3025.195781,-79
3026.382363,-78
3026.630817,-80
3027.48458,-79
3028.350857,-81
3029.200733,-77
3030.345859,-88
3031.947504,-80
3032.441916,-80
3033.483406,-80
3034.631003,-78
3035.524762,-80
3036.636064,-81
3039.229295,-84
3041.22399,-83
3042.078605,-89
3042.938579,-85
3044.128525,-87
3044.678068,-79
3045.242272,-80
