time,rssi
2222.741446,-76
2224.168771,-83
2224.442796,-75
2224.728129,-72
2227.312973,-79
2227.875552,-76
2232.185144,-78
2233.030463,-74
2235.027824,-84
2236.781195,-83
2237.037497,-78
2237.601629,-77
2238.465889,-81
2240.470082,-84
2241.037723,-80
2241.614273,-81
2242.187899,-78
2245.635385,-84
2246.213864,-85
2246.795967,-79
2247.636626,-79
2249.37012,-80
2250.506614,-81
2251.084446,-76
2251.360343,-86
2253.099952,-76
2253.649257,-72
2254.220768,-77
2254.513033,-77
2254.784183,-80
2255.647965,-94
2256.530092,-76
2257.070404,-76
2257.651645,-81
2257.929213,-79
2260.227519,-84
2260.507674,-84
2261.0717,-83
2262.509198,-77
