time,rssi
3113.02437,-75
3113.304219,-76
3114.164217,-73
3115.869284,-78
3116.153046,-76
3117.006456,-79
3117.869291,-79
3118.4404,-76
3119.290391,-78
3121.872953,-91
3122.445043,-81
3123.014534,-73
3123.31631,-77
3123.581632,-79
3124.163167,-80
3126.729124,-74
3127.348963,-73
3128.165386,-80
3128.45549,-84
3129.879225,-82
3130.473241,-72
3132.172922,-81
3133.023008,-80
3133.594262,-83
3135.063095,-77
3135.627265,-78
3135.907863,-80
3136.490993,-80
3137.903022,-77
3139.051699,-82
3140.202568,-79
3140.774337,-75
3143.671465,-81
3144.212894,-72
3144.560442,-73
3144.879081,-73
3146.21804,-80
3147.364209,-79
3147.947328,-78
3149.085423,-79
3150.510472,-78
3151.949776,-78
