time,rssi
695.96635,-83
700.822923,-74
701.407958,-78
701.700511,-88
701.984102,-81
702.279933,-80
702.851194,-82
703.424902,-80
705.13922,-79
705.434673,-90
705.716667,-74
706.281672,-74
706.565442,-71
707.141711,-66
708.296662,-70
709.442935,-63
709.728066,-68
710.585558,-70
710.87675,-67
711.159212,-73
711.732663,-76
712.020086,-79
712.878012,-79
713.167985,-86
714.598625,-87
714.87909,-82
715.730555,-82
717.713097,-76
717.999434,-78
718.580807,-79
718.86258,-85
719.736806,-87
722.608907,-85
724.316893,-89
724.59488,-82
725.164513,-94
725.735035,-87
726.874478,-82
727.729493,-81
728.88522,-78
729.176557,-82
730.03732,-77
731.469216,-76
731.753354,-81
733.753347,-74
734.327988,-68
735.18758,-70
735.767886,-66
