time,rssi
3540.170924,-86
3541.027025,-86
3541.622747,-81
3541.880421,-81
3542.736723,-75
3543.58947,-82
3544.762777,-77
3546.162967,-78
3546.736628,-81
3547.880515,-79
3548.734121,-76
3550.160476,-79
3551.022987,-82
3552.163024,-77
3553.334734,-80
3553.588128,-87
3554.165686,-80
3555.311747,-84
3556.455844,-80
3557.59302,-82
3558.163059,-80
3559.310681,-77
3560.504561,-83
3560.748041,-79
3561.344629,-78
3562.464287,-86
3563.324311,-86
3564.18188,-77
3566.58504,-76
3566.886294,-85
3567.325526,-77
3568.466826,-89
3569.66014,-77
3572.179398,-81
3572.464299,-77
3573.901928,-81
3574.536787,-79
3575.328063,-83
3576.469425,-72
3577.90465,-78
3578.817336,-78
3579.049521,-82
3579.622856,-79
