time,rssi
723.69585,-87
724.547235,-75
725.403409,-81
725.684613,-82
726.5546,-83
726.842102,-83
727.417303,-82
727.704513,-75
729.132172,-76
729.421545,-77
731.709688,-77
731.984673,-78
732.559673,-81
733.429799,-87
733.99097,-77
734.863218,-78
735.130799,-89
735.708983,-76
736.072914,-87
736.555968,-82
736.838515,-82
738.305571,-80
738.54819,-76
739.416346,-86
740.567637,-82
741.708503,-83
743.133609,-78
743.702793,-80
744.599292,-78
744.853656,-83
746.296471,-73
747.14473,-83
748.862349,-88
750.00991,-82
750.287449,-79
751.714064,-77
752.006239,-84
753.427708,-79
754.351736,-73
754.855031,-75
755.138727,-78
755.990577,-79
756.852522,-87
757.142612,-87
758.862534,-77
759.149413,-74
759.429687,-88
760.29238,-90
761.189471,-82
762.977888,-90
763.522211,-86
