time,rssi
731.894137,-76
732.386014,-85
734.116074,-85
734.984791,-82
735.654366,-86
735.850996,-85
736.457997,-77
737.920559,-79
738.132288,-76
738.413525,-75
739.653925,-85
740.151085,-74
740.44119,-75
741.981445,-85
742.480246,-83
743.299863,-78
743.62871,-83
744.167344,-84
744.751487,-77
745.023641,-87
745.899937,-86
746.453654,-86
746.739944,-80
747.592459,-72
749.03648,-80
749.887567,-77
752.250064,-76
752.460407,-81
752.747445,-77
753.892478,-77
755.317562,-83
755.894962,-79
757.062214,-80
758.468969,-85
759.687758,-83
759.932271,-87
760.47515,-79
761.385162,-72
762.760339,-77
763.05032,-86
764.764014,-78
765.047769,-85
766.767783,-84
767.376887,-80
767.63166,-77
768.492738,-78
770.211556,-77
771.370228,-76
