time,rssi
3544.393831,-78
3544.657107,-83
3545.481495,-71
3546.343884,-83
3546.923324,-85
3547.766368,-77
3548.047583,-72
3549.197705,-87
3550.052699,-81
3551.207564,-74
3552.924039,-89
3553.566562,-84
3553.807561,-79
3554.381593,-76
3554.920203,-87
3555.207638,-83
3556.652061,-85
3556.916472,-85
3557.217494,-80
3557.487723,-86
3558.915299,-90
3559.487758,-81
3561.497741,-80
3562.646583,-76
3563.512725,-90
3564.699177,-82
3564.946912,-85
3565.806557,-87
3566.676558,-79
3568.405661,-84
3569.008456,-75
3569.535523,-79
3570.969115,-89
3571.830389,-76
3572.985386,-80
3573.850362,-89
3575.019172,-76
3575.279091,-79
3575.859131,-77
3576.726907,-82
3577.436585,-80
3577.864079,-79
3579.629069,-79
3580.437889,-83
3581.047802,-85
3581.305359,-87
3581.902508,-84
3582.164105,-84
3583.326706,-80
