time,rssi
702.180236,-76
702.472713,-82
702.755378,-76
704.192818,-86
705.331448,-81
706.465259,-77
711.626627,-75
714.205421,-79
714.493087,-77
716.781565,-80
718.214035,-72
718.795485,-81
719.942688,-83
720.809479,-81
721.379084,-82
722.518392,-80
723.089038,-76
727.091694,-80
727.387046,-80
728.22949,-84
728.792975,-78
730.5186,-83
732.2192,-83
733.373042,-80
733.659158,-83
735.090418,-92
735.651708,-79
736.225575,-80
737.091642,-80
737.674703,-86
737.958201,-88
738.246766,-88
740.531642,-79
741.971777,-76
