time,rssi
776.272982,-88
776.536366,-83
777.100314,-83
777.388862,-79
777.967395,-85
778.241457,-77
779.103955,-81
779.955215,-84
780.237602,-80
781.113238,-89
781.407411,-81
781.6777,-77
782.567213,-86
783.680251,-73
784.608323,-70
784.823999,-75
785.395211,-68
786.24777,-74
786.540306,-88
787.392871,-78
787.964168,-75
789.101653,-81
789.683706,-75
789.959147,-85
790.53289,-82
791.956758,-78
792.535395,-85
793.395472,-86
793.685138,-79
794.884293,-80
795.119217,-86
795.715071,-80
796.558498,-77
797.130004,-83
797.416664,-82
798.56669,-81
799.428009,-76
800.003211,-82
800.564239,-87
800.849285,-92
801.419262,-80
802.280494,-78
802.855646,-83
803.70055,-80
803.986989,-81
804.853423,-83
806.289352,-87
806.864048,-81
807.73326,-78
808.306878,-78
809.174382,-77
810.331272,-75
811.180613,-74
812.040531,-74
812.929282,-93
813.200311,-80
813.751826,-79
814.603138,-80
815.178222,-81
