time,rssi
1520.991146,-77
1522.147289,-78
1523.586545,-78
1524.143792,-78
1525.274511,-87
1527.594497,-82
1527.8457,-87
1528.420727,-81
1529.280699,-87
1531.595394,-93
1531.867052,-82
1533.083718,-79
1533.308448,-82
1534.462004,-81
1535.312079,-82
1535.602096,-78
1537.035946,-86
1537.894607,-82
1539.04706,-75
1540.188521,-83
1540.75984,-76
1541.614608,-82
1542.187166,-81
1543.404083,-76
1543.908411,-74
1544.766658,-82
1545.621859,-88
1546.781762,-86
1547.62349,-81
1547.915057,-83
1548.768428,-84
1549.915969,-78
1550.786683,-90
1551.651896,-80
1552.220056,-83
1553.067547,-83
1553.349925,-85
1553.637848,-80
1554.496102,-88
1555.076377,-86
1555.931233,-84
1556.858236,-87
1557.07734,-77
1558.531281,-82
1558.787413,-78
1559.35619,-76
1560.258078,-80
1560.507217,-77
