time,rssi
3544.558262,-80
3545.435281,-82
3546.324384,-80
3547.684142,-85
3549.39722,-75
3550.557945,-79
3551.687291,-85
3552.552302,-84
3553.706277,-81
3554.575055,-80
3554.848543,-79
3555.430625,-81
3556.587214,-82
3558.607259,-84
3560.029957,-80
3560.932985,-77
3561.76766,-77
3562.021439,-83
3562.879871,-83
3563.739887,-77
3565.164875,-81
3565.741019,-84
3568.023661,-80
3570.327475,-76
3570.601207,-80
3572.036281,-82
3573.470022,-82
3574.623756,-78
3575.485066,-78
3576.422276,-77
3576.628768,-89
3578.786672,-75
3578.912513,-75
3579.480102,-78
3580.900105,-77
3581.186177,-84
3582.649156,-81
3582.893822,-80
3583.181435,-81
3584.332051,-79
