time,rssi
3542.370499,-74
3543.528284,-69
3543.810552,-76
3544.3924,-70
3545.529302,-75
3547.564933,-76
3548.415413,-81
3549.56058,-74
3550.989353,-80
3551.559336,-87
3552.128028,-82
3552.416989,-83
3553.275209,-77
3553.845558,-87
3555.568141,-75
3556.991608,-75
3557.263524,-87
3562.428412,-86
3564.419649,-87
3566.14319,-85
3568.455971,-76
3569.58711,-80
3570.443329,-75
3571.020751,-83
3572.738506,-78
3573.329406,-70
3573.878286,-80
3574.458397,-77
3575.383586,-79
3576.189693,-74
3576.472484,-75
3577.327101,-81
3578.190561,-76
3582.20091,-79
