time,rssi
3171.037069,-75
3171.325073,-77
3172.463076,-77
3173.322966,-84
3174.466862,-78
3175.33186,-74
3176.487329,-76
3177.629464,-82
3178.801201,-72
3179.066869,-78
3179.656595,-77
3179.923096,-79
3180.50179,-83
3181.654464,-77
3182.521241,-80
3183.370663,-76
3184.21968,-73
3184.797945,-81
3185.670747,-89
3186.799447,-81
3187.668112,-74
3188.832554,-76
3189.968321,-81
3191.405589,-85
3191.972037,-78
3193.125524,-83
3194.553914,-80
3194.83818,-88
3195.994486,-74
3198.857489,-79
3199.445126,-80
3200.009777,-75
3202.024657,-80
3203.783262,-75
3204.619634,-84
3205.18462,-84
3206.332165,-77
3207.488315,-81
3208.951061,-81
3209.49233,-78
