time,rssi
1552.679578,-79
1553.540808,-82
1554.688319,-76
1556.995202,-87
1557.264593,-76
1557.556742,-82
1558.120844,-83
1558.435155,-75
1558.721647,-80
1558.971127,-81
1559.835913,-76
1560.68951,-78
1561.843051,-85
1562.130818,-79
1562.993273,-81
1563.842251,-82
1565.553253,-82
1565.840953,-82
1566.987818,-82
1567.260868,-86
1567.840795,-75
1568.700924,-81
1569.275898,-86
1569.847073,-76
1570.989716,-75
1572.427206,-76
1573.326269,-80
1574.146047,-80
1575.568516,-80
1576.139821,-75
1576.9973,-85
1578.704863,-83
1579.281035,-78
1580.996064,-82
1581.287285,-81
1582.144755,-83
1583.603872,-78
1584.444021,-78
1584.729834,-84
1585.868577,-77
1586.459986,-86
1586.717447,-94
1587.58567,-82
1587.879681,-75
1588.731277,-86
1589.599968,-85
1590.478265,-79
1591.896236,-82
1592.470904,-76
