time,rssi
1471.567996,-90
1472.139326,-79
1474.146174,-87
1475.29178,-84
1476.719473,-81
1477.006052,-85
1478.14936,-85
1479.890021,-80
1480.736862,-83
1481.637058,-81
1482.750717,-79
1483.320577,-89
1485.064737,-79
1485.323083,-77
1487.036906,-75
1487.41063,-78
1489.919658,-73
1490.499696,-83
1491.642068,-76
1494.338287,-79
1494.79711,-82
1495.978319,-86
1496.805843,-91
1499.379682,-83
1499.948438,-86
1504.543434,-89
1506.30198,-78
1506.531359,-83
1507.128836,-78
1507.393451,-81
1507.969769,-75
1508.858153,-85
1509.114657,-75
1510.541024,-74
1511.401018,-84
