time,rssi
832.198118,-75
832.772527,-80
834.779029,-78
835.058649,-84
835.917238,-84
838.493739,-79
838.78123,-73
839.636199,-75
840.20746,-81
841.645013,-76
841.937471,-79
843.101795,-86
843.662515,-76
843.948912,-77
845.665049,-76
846.819056,-82
847.386311,-79
848.544281,-79
848.8292,-83
849.401806,-79
851.396292,-73
851.963811,-82
853.40333,-73
856.53901,-91
857.686457,-79
859.111602,-81
862.262219,-79
863.96757,-78
865.673824,-80
866.242679,-80
866.815194,-80
867.671473,-78
868.251745,-79
869.102739,-74
869.392069,-73
870.543951,-77
