time,rssi
575.734713,-77
579.988398,-76
581.406575,-85
581.689058,-79
585.405263,-84
586.865133,-85
588.55155,-79
589.401539,-76
589.970249,-76
591.135414,-81
591.407737,-81
591.991512,-77
592.260247,-81
593.421218,-79
593.993989,-83
594.55026,-71
594.834012,-75
595.411573,-72
595.984962,-70
596.266536,-85
596.836586,-82
597.407745,-74
597.990344,-81
599.40414,-74
600.549304,-77
601.746176,-80
601.97803,-82
603.119084,-86
604.625048,-80
605.129807,-79
605.975413,-83
606.567913,-79
606.846519,-87
608.586091,-83
612.014074,-77
614.585465,-89
