time,rssi
1413.041159,-79
1413.602842,-82
1416.188971,-84
1417.047759,-74
1417.898977,-80
1418.75836,-73
1419.913363,-73
1421.130251,-75
1421.328973,-78
1421.907641,-71
1423.046475,-72
1423.899009,-61
1425.327839,-70
1427.325533,-78
1428.181423,-73
1428.745246,-70
1429.034685,-71
1429.604008,-81
1430.47152,-80
1431.066043,-72
1431.325412,-78
1432.206791,-77
1432.75156,-79
1433.889108,-80
1435.884019,-81
1436.449188,-85
1438.460285,-89
1439.610097,-86
1439.880867,-80
1440.456989,-81
1440.740384,-78
1441.595453,-85
1442.735523,-83
1443.623594,-79
1444.151773,-87
1444.441986,-78
1445.684349,-78
1447.025271,-73
1447.601668,-82
1449.056047,-72
1449.330545,-82
1450.181753,-69
1450.748059,-77
1451.603331,-68
1452.750248,-76
1453.033047,-74
