time,rssi
1497.558618,-77
1498.151196,-71
1498.414615,-81
1499.275961,-78
1499.853706,-72
1500.419674,-73
1500.985908,-68
1503.024621,-66
1503.280944,-68
1505.886604,-76
1507.012197,-78
1507.59091,-84
1508.746561,-77
1509.034062,-72
1509.312065,-82
1510.163339,-80
1512.448922,-85
1514.159847,-82
1515.015126,-78
1515.582288,-85
1517.015987,-78
1517.303454,-82
1517.881523,-88
1520.77259,-78
1521.900426,-76
1522.18253,-82
1523.329101,-83
1524.184737,-80
1525.342353,-80
1527.026126,-82
1529.873504,-90
1531.05962,-84
1532.189168,-89
1532.76041,-82
1533.051243,-70
1533.901207,-84
1534.473678,-73
1534.760988,-77
1535.904487,-76
1536.776711,-75
1537.342497,-76
