time,rssi
1678.870761,-82
1679.116848,-81
1680.427212,-83
1680.830783,-81
1681.986077,-81
1682.828251,-90
1683.115685,-81
1685.134896,-82
1685.400733,-82
1687.400903,-81
1689.110732,-76
1690.81965,-77
1691.387244,-74
1692.525707,-84
1693.385759,-86
1694.250592,-71
1695.444404,-77
1696.54203,-82
1697.401867,-80
1698.828237,-81
1699.394394,-77
1700.841254,-81
1701.099486,-84
1701.786298,-80
1702.230724,-86
1703.718824,-83
1703.942494,-88
1705.080794,-80
1705.672077,-84
1706.795827,-85
1708.031078,-81
1708.217093,-85
1708.783357,-85
1709.644613,-89
1711.654303,-77
1711.937121,-85
1713.084374,-75
1714.233501,-77
1715.137787,-71
1715.382122,-78
1716.524714,-76
1716.830742,-79
1717.66582,-89
1718.322799,-75
1718.527068,-82
