time,rssi
696.991153,-78
697.270643,-81
697.909775,-82
699.597528,-86
701.06006,-76
701.951019,-82
702.148288,-88
702.432048,-80
703.574473,-81
704.714693,-73
705.604386,-84
706.435205,-90
707.008327,-82
708.763185,-79
710.277772,-86
710.437175,-76
710.720955,-83
711.577059,-80
713.874691,-87
715.022192,-77
716.210272,-78
716.462256,-76
717.656217,-80
718.184747,-83
718.781414,-81
719.047161,-89
720.199694,-82
721.051084,-77
722.491109,-80
723.651693,-83
723.942907,-82
724.502443,-83
725.934928,-85
727.166009,-86
727.364672,-87
728.219588,-85
729.464573,-75
729.657086,-90
730.229655,-79
731.375926,-86
733.71151,-78
733.963387,-80
735.946029,-74
736.227614,-73
