time,rssi
2062.357263,-78
2062.976694,-78
2063.790919,-83
2064.934718,-81
2066.933512,-79
2067.502232,-84
2068.072564,-81
2069.532069,-85
2069.794719,-86
2070.079777,-79
2072.56998,-85
2072.949755,-89
2073.519764,-72
2074.386066,-90
2075.242309,-77
2076.969815,-75
2077.823444,-78
2078.772053,-84
2078.974777,-87
2079.833591,-80
2080.400073,-79
2082.113608,-82
2082.398909,-79
2083.568464,-79
2083.836058,-78
2084.689853,-78
2085.548657,-79
2086.835616,-75
2087.27606,-82
2087.565901,-78
2087.849858,-89
2088.998671,-73
2090.157443,-76
2090.721051,-81
2092.164984,-78
2092.845616,-73
2093.027423,-83
2094.173741,-79
2095.59877,-74
2096.174962,-80
2097.032528,-87
2097.911118,-79
2098.191229,-88
2099.337532,-77
2099.911325,-81
2101.094408,-80
2101.339985,-84
