time,rssi
2312.279187,-84
2312.848166,-76
2313.128393,-80
2313.436491,-84
2313.981831,-81
2315.700523,-83
2316.273751,-76
2316.549365,-80
2320.000557,-78
2321.422205,-81
2325.14069,-75
2326.581353,-79
2327.163032,-85
2327.735752,-81
2328.03183,-82
2328.313919,-77
2328.886913,-84
2329.1749,-80
2329.759211,-85
2330.041976,-79
2330.61823,-73
2332.061931,-81
2332.931471,-70
2333.203217,-65
2333.490858,-71
2333.771908,-70
2334.055767,-63
2334.630425,-68
2334.918315,-66
2335.499639,-70
2335.780707,-85
2336.069491,-73
2336.64828,-80
2337.510726,-76
2338.40323,-87
2339.238917,-86
2340.952035,-82
2341.526013,-78
2341.809552,-78
2342.383336,-79
2342.958262,-78
2343.240847,-82
2343.527136,-83
2344.092035,-87
2344.384094,-87
2344.955789,-80
2346.680234,-88
2346.959555,-80
2347.253527,-80
2349.246436,-86
2351.252426,-84
2351.534726,-87
