time,rssi
3542.794062,-79
3543.073533,-71
3543.928646,-77
3545.354941,-83
3545.924465,-94
3546.505729,-84
3547.084007,-73
3547.358669,-82
3547.92981,-80
3549.364894,-75
3550.611364,-76
3551.082423,-78
3551.947525,-88
3553.671265,-77
3553.961226,-75
3555.102302,-79
3557.119514,-77
3557.391213,-79
3558.252368,-78
3559.39629,-72
3560.267878,-75
3561.964989,-75
3562.253734,-83
3563.396257,-78
3564.268688,-80
3564.545429,-79
3565.426266,-73
3567.417541,-78
3569.71268,-84
3570.568814,-74
3571.997695,-76
3572.575969,-80
3572.854429,-81
3574.296797,-75
3574.567087,-72
3575.711272,-82
3577.135189,-86
3577.703647,-84
3579.712641,-79
3580.86277,-74
3581.706331,-82
