time,rssi
3548.117406,-78
3551.571275,-74
3552.451887,-78
3552.713711,-80
3553.31068,-76
3554.82917,-78
3555.279492,-83
3555.557669,-84
3556.428533,-74
3556.752913,-78
3557.837577,-72
3558.406316,-85
3560.417429,-81
3561.560082,-79
3563.28134,-76
3563.578205,-77
3566.151791,-77
3567.586252,-83
3569.010299,-79
3569.580404,-80
3571.302764,-78
3573.031528,-72
3573.877713,-71
3575.877568,-80
3579.323277,-79
3580.178987,-80
3581.356202,-78
3581.607774,-75
3582.753984,-83
3583.056386,-78
3584.484122,-81
3585.05533,-81
3586.848884,-78
3587.3455,-77
