time,rssi
2050.083315,-77
2050.943264,-78
2052.091431,-77
2054.371943,-82
2054.945641,-76
2056.090833,-81
2056.988706,-84
2057.232035,-76
2058.675792,-76
2060.395905,-88
2061.250791,-88
2062.114657,-81
2063.267015,-79
2063.839603,-83
2066.70852,-80
2068.713475,-82
2069.865887,-85
2071.313556,-76
2071.927533,-78
2072.772078,-83
2073.598502,-80
2074.760997,-85
2075.628514,-75
2077.330981,-93
2078.478492,-70
2078.775171,-77
2079.33848,-71
2080.20973,-86
2081.920357,-77
2082.780345,-75
2083.052218,-75
2085.342221,-80
2086.487689,-86
2087.623642,-82
2088.482626,-81
2089.651745,-80
