time,rssi
2782.2608,-84
2783.396945,-86
2784.325439,-82
2785.119475,-77
2786.546781,-84
2787.399284,-81
2788.54318,-78
2789.416199,-83
2790.303653,-86
2790.553228,-84
2791.700874,-79
2792.564349,-77
2793.703348,-81
2795.42827,-84
2795.716948,-83
2796.868257,-84
2797.748964,-80
2798.909526,-81
2799.141885,-84
2800.568669,-87
2801.156751,-85
2801.705731,-83
2802.8469,-77
2803.989536,-79
2804.893949,-78
2805.132028,-80
2805.995642,-81
2807.139391,-79
2808.017915,-82
2808.286988,-88
2809.152178,-80
2809.787895,-87
2810.29198,-71
2811.154487,-79
2812.350492,-83
2812.592425,-78
2813.170471,-84
2814.305754,-78
2815.74706,-80
2816.31831,-82
2817.334192,-80
2818.033243,-80
2818.315794,-78
2819.474906,-83
2820.317044,-84
2821.509258,-79
2821.742037,-80
