time,rssi
1468.577004,-84
1469.416894,-86
1470.570938,-81
1473.170287,-74
1473.440867,-73
1474.634746,-77
1474.868425,-75
1475.460446,-90
1476.577144,-82
1477.745827,-74
1478.017151,-78
1478.879494,-76
1480.599623,-78
1482.316006,-74
1482.602073,-77
1484.034789,-80
1485.175922,-83
1486.054747,-94
1487.460975,-82
1487.749771,-81
1489.483575,-81
1490.633971,-79
1491.212318,-79
1492.086091,-85
1492.933483,-77
1494.078518,-84
1495.527094,-82
1497.2449,-86
1498.106059,-75
1499.285847,-75
1500.111055,-80
1500.45159,-76
1502.711095,-74
1502.966241,-78
1505.261204,-73
1506.985104,-81
1507.274289,-78
1507.563748,-86
