time,rssi
661.355943,-79
661.589794,-77
662.205352,-82
663.016027,-82
663.584871,-84
664.21849,-82
665.304762,-80
666.449879,-85
668.4551,-82
669.301122,-82
670.449863,-89
671.788056,-81
672.450654,-82
672.732361,-92
673.592432,-86
675.052328,-81
675.596152,-78
676.45173,-78
677.598856,-81
679.615311,-82
681.623857,-72
682.764974,-82
683.93602,-81
684.207667,-83
685.061356,-85
686.20883,-84
688.322693,-81
688.515049,-83
689.372557,-85
690.706838,-87
690.79886,-85
691.461599,-84
691.656184,-86
692.41193,-83
692.520128,-83
693.968402,-79
695.862437,-91
696.259738,-76
697.6538,-79
697.967488,-79
698.433783,-78
698.538887,-72
699.120772,-77
699.968797,-81
700.737195,-91
700.820622,-85
