time,rssi
3545.505676,-78
3546.072803,-79
3547.238751,-79
3548.09177,-83
3548.937982,-82
3550.380437,-81
3551.224179,-84
3552.18779,-78
3552.365548,-81
3553.222941,-89
3553.793371,-81
3554.368225,-82
3554.946691,-84
3556.954169,-86
3558.110573,-85
3560.683105,-80
3561.255604,-76
3563.261704,-81
3564.680582,-82
3565.841774,-72
3566.752731,-78
3567.547972,-84
3568.428228,-81
3569.578661,-82
3569.854245,-82
3570.820059,-77
3570.996798,-78
3571.287962,-82
3572.441838,-85
3573.01059,-86
3573.294375,-78
3574.425508,-84
3576.774684,-83
3577.848052,-85
3579.845739,-80
3582.183464,-82
3582.706806,-84
3583.56669,-75
3585.006927,-82
