time,rssi
3543.696319,-79
3544.555018,-75
3545.418805,-76
3547.986352,-81
3548.271215,-75
3549.983822,-81
3550.630965,-76
3551.688885,-75
3552.546398,-67
3553.415138,-74
3554.351448,-80
3555.235755,-83
3555.411311,-78
3556.843948,-73
3558.601532,-81
3559.138282,-76
3561.12785,-80
3561.794842,-79
3563.991643,-80
3567.711517,-77
3568.851634,-84
3570.034043,-79
3572.018607,-79
3573.252059,-80
3574.011643,-74
3577.144107,-80
3578.322326,-73
3578.580453,-77
3579.150516,-74
3580.291765,-68
