time,rssi
2049.646318,-81
2050.508778,-81
2051.655054,-87
2052.517439,-87
2053.951354,-77
2054.538988,-79
2054.808075,-74
2055.660237,-85
2056.509617,-74
2057.362795,-73
2057.646296,-77
2058.797838,-73
2059.943897,-66
2060.220165,-68
2060.788917,-60
2061.657569,-78
2062.824291,-76
2063.096575,-81
2065.98052,-77
2067.091503,-76
2068.280624,-78
2069.389166,-81
2070.247573,-78
2071.675622,-82
2072.534047,-87
2073.676561,-83
2074.313868,-77
2075.114086,-78
2077.405543,-80
2078.260264,-84
2079.41034,-73
2080.279036,-71
2081.147723,-88
2082.290172,-77
2083.722893,-78
2084.342717,-75
2085.726618,-78
2086.294205,-71
2087.727616,-74
2088.010227,-71
2088.585205,-69
