time,rssi
704.253591,-84
705.702237,-80
705.961216,-77
707.668665,-80
707.959853,-79
708.821045,-81
709.975054,-83
710.257326,-90
710.829149,-68
712.261188,-67
713.168905,-80
713.403872,-70
714.021984,-70
714.82866,-75
715.534795,-74
715.970021,-72
717.22241,-80
717.401199,-83
718.259589,-90
719.402528,-86
720.258722,-78
721.10632,-81
723.397681,-78
724.533943,-89
725.683928,-73
726.253819,-87
727.690318,-81
728.253938,-79
729.504138,-80
730.568651,-84
730.826389,-79
731.419481,-73
733.397717,-72
734.828992,-76
735.79422,-76
736.551393,-74
737.713746,-77
737.987727,-80
738.564011,-70
739.71705,-73
740.85785,-78
741.719785,-81
742.565259,-78
742.851571,-78
743.713051,-79
