time,rssi
3056.507681,-75
3056.728712,-81
3057.301311,-79
3058.157016,-72
3058.433704,-72
3059.607115,-78
3059.888384,-85
3060.152602,-75
3060.722571,-78
3061.587592,-73
3062.174457,-77
3063.302416,-83
3064.495112,-89
3065.877512,-82
3067.029013,-82
3067.616597,-77
3067.882987,-78
3068.741412,-74
3069.601295,-78
3070.466244,-77
3072.235684,-74
3072.750154,-74
3073.612572,-83
3074.764069,-74
3075.037629,-81
3075.608736,-70
3077.068859,-76
3077.63617,-79
3079.060311,-89
3081.073736,-80
3081.932464,-79
3082.312458,-82
3082.85194,-85
3084.225159,-84
3085.369083,-77
3085.939737,-82
3086.508916,-78
3087.081934,-77
3087.947684,-75
3089.110442,-73
3089.948979,-73
3091.144288,-69
3091.379073,-82
3094.526517,-82
3096.246517,-79
