time,rssi
2239.462095,-85
2240.318093,-91
2241.750641,-85
2242.416092,-80
2244.039379,-81
2244.321885,-77
2246.16221,-85
2246.325597,-76
2246.611722,-80
2247.177269,-75
2247.750633,-87
2248.610609,-77
2249.473239,-78
2249.755974,-73
2251.754434,-83
2255.242926,-79
2255.75701,-79
2256.023156,-83
2257.453237,-78
2257.740662,-78
2258.895762,-78
2260.33908,-88
2262.328314,-86
2263.482085,-81
2265.549044,-78
2265.775897,-78
2266.142859,-84
2267.780981,-82
2268.062112,-82
2269.506065,-79
2270.094075,-84
2271.229754,-79
2272.097595,-82
2272.37212,-81
2273.527143,-83
2274.977987,-78
2275.239629,-79
2277.033131,-92
2277.533636,-83
2279.253554,-81
