time,rssi
3169.151679,-74
3169.42936,-77
3170.018444,-74
3170.437533,-75
3171.443202,-78
3172.30198,-78
3173.494069,-78
3175.163091,-83
3176.863239,-78
3177.144587,-80
3178.299461,-80
3179.153566,-83
3180.600776,-83
3181.481821,-85
3182.026981,-78
3182.306923,-81
3184.020834,-87
3184.588337,-80
3185.737059,-86
3186.59837,-84
3187.462067,-82
3188.60954,-85
3189.465777,-85
3190.899652,-84
3192.649716,-82
3192.928324,-79
3194.348784,-75
3194.635882,-81
3197.225967,-76
3197.834773,-81
3198.437865,-75
3199.088698,-77
3200.372261,-79
3201.533448,-83
3202.093523,-80
3202.958426,-82
3204.109762,-84
3205.246133,-84
3206.673645,-81
3207.262609,-77
3208.104905,-90
