time,rssi
2922.127349,-85
2923.282143,-81
2923.557255,-89
2923.84482,-88
2924.413578,-80
2925.295137,-88
2926.128697,-85
2926.696174,-75
2927.565389,-80
2929.548593,-83
2932.452412,-78
2932.695281,-80
2938.98879,-80
2939.557278,-81
2941.033895,-80
2941.565625,-80
2942.131132,-73
2942.71052,-71
2943.291586,-75
2944.154437,-70
2944.699812,-71
2946.419052,-67
2946.998843,-64
2947.551096,-69
2948.692401,-67
2949.836811,-71
2950.41489,-72
2951.559927,-72
2952.125161,-75
2953.852516,-85
2954.711168,-81
2956.159195,-79
2956.436238,-87
2959.578829,-85
2961.298917,-78
