time,rssi
642.022222,-81
643.457201,-77
644.891047,-76
645.748566,-76
646.030934,-73
647.176061,-77
648.048062,-77
648.903937,-81
649.191345,-87
650.33979,-79
651.204833,-81
652.063711,-73
652.92723,-84
654.354858,-80
655.815228,-79
656.114446,-83
657.221376,-76
658.089114,-76
659.225034,-83
660.083723,-77
662.672738,-74
662.948749,-83
663.238583,-83
664.386209,-75
665.825005,-76
666.412739,-83
666.678723,-77
667.254158,-84
667.536537,-78
667.827184,-71
668.119149,-83
668.393788,-80
669.821198,-78
670.10621,-80
670.678777,-75
671.826293,-88
672.401951,-81
672.686231,-84
673.831065,-76
674.116242,-82
674.694906,-80
674.96629,-76
676.111042,-76
676.396274,-85
676.686339,-79
677.541293,-79
678.115076,-87
679.273439,-78
679.842696,-80
681.004104,-81
681.56506,-80
681.846286,-75
