time,rssi
2319.495522,-80
2321.201905,-89
2321.518338,-85
2322.915688,-82
2323.982724,-83
2324.980899,-87
2325.20971,-85
2325.86116,-88
2326.0619,-92
2327.198283,-84
2328.119328,-95
2328.351778,-88
2329.199429,-83
2331.203191,-85
2332.063243,-89
2334.153808,-77
2334.359358,-87
2334.931981,-87
2335.794696,-78
2336.940839,-81
2337.22707,-75
2338.091157,-79
2338.655655,-85
2338.945626,-84
2340.654717,-75
2340.939823,-76
2342.234557,-76
2343.229708,-81
2344.445361,-85
2344.949634,-75
2345.237009,-81
2346.614232,-81
2347.815637,-87
2348.386982,-91
2350.692345,-87
2351.549466,-86
2352.413277,-82
2353.29083,-80
2353.560759,-83
2355.295325,-10
2355.855877,-84
2356.707111,-81
2357.91192,-93
2358.428594,-81
